source_index,source_label,model_label,split,identity_name,image_path
1401,14,0,train,George_W_Bush,data/processed/George_W_Bush/1401.png
1070,14,0,train,George_W_Bush,data/processed/George_W_Bush/1070.png
2488,14,0,train,George_W_Bush,data/processed/George_W_Bush/2488.png
800,14,0,train,George_W_Bush,data/processed/George_W_Bush/800.png
532,14,0,train,George_W_Bush,data/processed/George_W_Bush/532.png
1572,14,0,train,George_W_Bush,data/processed/George_W_Bush/1572.png
233,14,0,train,George_W_Bush,data/processed/George_W_Bush/233.png
699,14,0,train,George_W_Bush,data/processed/George_W_Bush/699.png
483,14,0,train,George_W_Bush,data/processed/George_W_Bush/483.png
807,14,0,train,George_W_Bush,data/processed/George_W_Bush/807.png
1977,14,0,train,George_W_Bush,data/processed/George_W_Bush/1977.png
2008,14,0,train,George_W_Bush,data/processed/George_W_Bush/2008.png
2071,14,0,train,George_W_Bush,data/processed/George_W_Bush/2071.png
1429,14,0,train,George_W_Bush,data/processed/George_W_Bush/1429.png
1189,14,0,train,George_W_Bush,data/processed/George_W_Bush/1189.png
947,14,0,train,George_W_Bush,data/processed/George_W_Bush/947.png
570,14,0,train,George_W_Bush,data/processed/George_W_Bush/570.png
193,14,0,train,George_W_Bush,data/processed/George_W_Bush/193.png
2618,14,0,train,George_W_Bush,data/processed/George_W_Bush/2618.png
758,14,0,train,George_W_Bush,data/processed/George_W_Bush/758.png
270,14,0,train,George_W_Bush,data/processed/George_W_Bush/270.png
321,14,0,train,George_W_Bush,data/processed/George_W_Bush/321.png
2388,14,0,train,George_W_Bush,data/processed/George_W_Bush/2388.png
2038,14,0,train,George_W_Bush,data/processed/George_W_Bush/2038.png
967,14,0,train,George_W_Bush,data/processed/George_W_Bush/967.png
2043,14,0,train,George_W_Bush,data/processed/George_W_Bush/2043.png
1970,14,0,train,George_W_Bush,data/processed/George_W_Bush/1970.png
1024,14,0,train,George_W_Bush,data/processed/George_W_Bush/1024.png
2877,14,0,train,George_W_Bush,data/processed/George_W_Bush/2877.png
305,14,0,train,George_W_Bush,data/processed/George_W_Bush/305.png
510,14,0,train,George_W_Bush,data/processed/George_W_Bush/510.png
2185,14,0,train,George_W_Bush,data/processed/George_W_Bush/2185.png
